text,Sexism,Women,Homophobia,Homossexuals,Lesbians,Body,Fat.people,Fat.women,Ugly.people,Ugly.women,Racism
"Uma #MulherDeVerdade se cuida. Quer estar linda,gostosa,apetitosa e,principalmente,inteligente. Mas,para ela mesma,em 1º lugar.",1,1,0,0,0,0,0,0,0,0,0
@tathiane_viSccp essa mulher é burra demais ou se faz? pqp,1,1,0,0,0,0,0,0,0,0,0
"Gorda,feia,e ogra https://t.co/A6cJRIE3WQ",1,1,0,0,0,1,1,1,1,1,0
RT @olhosvioleta_: Feliz dia das mulheres para todas as minhas seguidoras lindas e maravilhosas!  meu twitter parece um jardim: só tem flo _,1,1,0,0,0,0,0,0,0,0,0
"~ Ai,fiz 1 piada sexista e machista mas não sou nada disso,vc que é burra e não tem senso de humor ~ FELIZ DIA DA MULHER",1,1,0,0,0,0,0,0,0,0,0
"PASSA A LINGUIÇA,MAS QUANDO FOR PRA CASAR ACHE UMA MENINA DE RESPEITO NÃO AS MARMITA  #JoaquinResponde https://t.co/wHjd9f0W1W",1,1,0,0,0,0,0,0,0,0,0
"Fico imaginando se o @omelete realmente acha que se mulheres negras q não ""chegaram lá"" por sofrerem racismo são ""vitimistas"".",1,1,0,0,0,0,0,0,0,0,1
"A globo mentiu para o futebol feminino. E a mulherada,como sempre iludida,acredita. Tudo normal",1,1,0,0,0,0,0,0,0,0,0
"@homemdeverdade não tem namorada,tem fêmea temporária.",1,1,0,0,0,0,0,0,0,0,0
"O racismo que mulheres negras e latinas sofrem nas áreas de ciência,tecnologia,engenharia e matemática > https://t.co/TPqO635N7z",1,1,0,0,0,0,0,0,0,0,0
"na hora nem me toquei que era por causa do dia da mulher,cuidado com a burra",1,1,0,0,0,0,0,0,0,0,0
Essas mulher burra me da raiva,1,1,0,0,0,0,0,0,0,0,0
"Tenho que se preocupar com meu filho que tem 1 ano . Não com mulher Burra velha que também já tem filho .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sai fora eu em !!",1,1,0,0,0,0,0,0,0,0,0
"@Direita_blog Pena que as feminazis de todo o mundo sejam covardes e não façam nenhum mega mijaço,cagaço,ou similar,nos países do islão.",1,0,0,0,0,0,0,0,0,0,0
Mulher é um parque de diversões. A começar pelo humor: uma montanha-russa.,1,1,0,0,0,0,0,0,0,0,0
#PrecisamosFalarSobreAborto Vc deveria ter sido abortado,1,1,0,0,0,0,0,0,0,0,0
homem que é homem só conhece dois cheiros de mulher: o bom e o ruim.,1,0,0,0,0,0,0,0,0,0,0
"""Cem homens podem formar um acampamento,mas é preciso uma mulher para se fazer um lar."" #MulherDeVerdade",1,1,0,0,0,0,0,0,0,0,0
principalmente minhas irmãs adoram falar o quanto eu sou feia e gorda e elas lindas e perfeitas,1,1,0,0,0,1,1,1,1,1,0
"Acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda,feia e briga por macho,parabéns p vc",1,1,0,0,0,1,1,1,1,1,0
Essa hora sexta feira @homemdeverdade não vai pra baladinha de vagabundo....Essa hora já demos duas! Agora é só relax...,1,0,0,0,0,0,0,0,0,0,0
"""A mulher deve ser lentamente decifrada,como o enigma que é: encanto a encanto."" #MulherDeVerdade",1,1,0,0,0,0,0,0,0,0,0
Feliz dia das mulheres pra você que se depila e não faz textão no Facebook!,1,0,0,0,0,0,0,0,0,0,0
"NÃO USO ISSO GOSTO DO TÉTE A TÉTE,CHEGA ENCOCHANDO E CHAMANDO DE DELÍCIA,UM AMANTE A MODA ANTIGA  #JoaquinResponde https://t.co/lPfxQzYsMD",1,1,0,0,0,0,0,0,0,0,0
"Burra é a mulher que aceita ser amante,pois valoriza um traidor,ajuda a destruir uma família e nunca terá moral de ser a única.",1,1,0,0,0,0,0,0,0,0,0
RT @monkwysmells: 3- eu não tenho auto estima. Esqueci ela no útero. Todos dizem que eu sou bonita porem eu n me acho bonita. Apenas uma ga _,1,1,0,0,0,0,0,0,0,0,0
Resumo do feminismo: querer aprovação pra mostrar o rabo https://t.co/GRoLFzkEsX,1,0,0,0,0,0,0,0,0,0,0
RT @NoutraCoisa: Namoradas que hoje não queiram sexo em vez da desculpa da dor de cabeça vestem uma camisola do Ederson. Não entra nada.,1,1,0,0,0,0,0,0,0,0,0
"@betocesarjr pode ser feia,pode ser gorda... só não pode ser feia é gorda.",1,1,0,0,0,1,1,1,1,1,0
"O desejo do homem é pela mulher,mas o desejo da mulher é pelo desejo do homem. Ou mais... #MulherDeVerdade",1,1,0,0,0,0,0,0,0,0,0
"RT @RachelSherazade: Lugar de mulher é no tanque!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ironlady #damadeferro #MargarethTatcher #inspiração https://t.co/6eMV2z1InZ",1,1,0,0,0,0,0,0,0,0,0
#HQEH não pergunta à esposa/namorada onde ela quer ir. Fala pra onde eles vão e pronto.,1,1,0,0,0,0,0,0,0,0,0
"""Vc é burra hein mulher"" https://t.co/2SZKWUg74w",1,1,0,0,0,0,0,0,0,0,0
"e nem precisa ser macho pra postar/pensar dessa forma,tem muita mulher assim também *ache a burra*",1,1,0,0,0,0,0,0,0,0,0
"""Musical? kiporréssa?!"" Por um homem que é homem",1,0,0,0,0,0,0,0,0,0,0
A saudade que eu estava acabou kkkkkkk ta gorda e feia. Deixe quieto com esses lixos,1,1,0,0,0,1,1,1,1,1,0
"A esquerda reclama das coisas inventadas pela própria esquerda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racismo,homofobia,machismo,nazismo,cultura de estupro e luta de classes.",1,0,1,0,0,0,0,0,0,0,1
"@homemdeverdade usa barba ou bigode,essa coisa de pelinha lisinha pra gente é bunda de mulher !",1,1,0,0,0,0,0,0,0,0,0
"Prefiro ser magrela como a piranha diz .. do que ser gorda feia como ela é,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Afrontaaaaaaaaabbê  https://t.co/QUc3onlGDo",1,1,0,0,0,1,1,1,1,1,0
@filhadolula eu lutei mas ai ela raspou a cabeça e ta mto sapatão isso ta acabando cmg...........,1,1,1,1,1,0,0,0,0,0,0
"HOMEM QUE USA SAIA E MAQUIAGEM:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APROPRIAÇÃO CULTURAL FEMININA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULHER QUE DEIXA O SUVACO PELUDO:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APROPRIAÇÃO CULTU _ https://t.co/wosNyx4JLo",1,1,0,0,0,0,0,0,0,0,0
Mulher quando gosta do cara é burra demais,1,1,0,0,0,0,0,0,0,0,0
Tem gente tão chata e burra que nem entende porque tem um dia da mulher,1,1,0,0,0,0,0,0,0,0,0
@a_angioletti @JOAQUINVOLTOU DEIXA EU ADIVINHAR...PÉSSIMA RELAÇÃO COM O PAI? GORDA FEIA SEQUER ASSEDIADA POR ALGUÉM?ACHO QUE OS DOIS HEIN...,1,1,0,0,0,1,1,1,1,1,0
RT @monkwysmells: 3- eu não tenho auto estima. Esqueci ela no útero. Todos dizem que eu sou bonita porem eu n me acho bonita. Apenas uma ga _,1,1,0,0,0,0,0,0,0,0,0
RT @girlslkgirls: mulher é tão bom que se na próxima vida eu nascer mulher de novo com certeza vou ser sapatão mais uma vez sem pensar duas _,1,1,1,1,1,0,0,0,0,0,0
"Mulher,até a Angelina Jolie é traida e vc acha q vc não? Larga de ser otária",1,1,0,0,0,0,0,0,0,0,0
GOSTO DE TÊTAS NATURAIS TAMANHO MÉDIO #JOAQUINRESPONDE https://t.co/2SuAfQKm8q,1,1,0,0,0,0,0,0,0,0,0
"A globo mentiu para o futebol feminino. E a mulherada,como sempre iludida,acredita. Tudo normal",1,1,0,0,0,0,0,0,0,0,0
Mulher boa é assim https://t.co/593O7QgDM7,1,1,0,0,0,0,0,0,0,0,0
"Minha mãe queria q eu procurasse uma mulher no Facebook e essa foi a descrição:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ela é baixinha,gorda e tem a cara bem feia. Tô chorando ",1,1,0,0,0,1,1,1,1,1,0
"""As melhores mulheres são as que querem trepar com você,e as piores são as que não querem."" - Lemmy - Motörhead - @homemdeverdade",1,1,0,0,0,0,0,0,0,0,0
Mas sinto-me tão feia.. tão gorda... tão nada comparado com todas as outras gajas. São tão lindas e dps existo eu.,1,1,0,0,0,1,1,1,1,1,0
Jesus..não paro de comer..Vou ficar gorda e feia https://t.co/EbxwkHTMXK,1,1,0,0,0,1,1,1,1,1,0
"É mta falta de uma louça,de umas roupas pra passar,de um chão de banheiro pra esfregar um pano https://t.co/VTif2nyuNo",1,1,0,0,0,0,0,0,0,0,0
@g1 O politicamente correto está acabando com a sociedade. Mulher burra é que se sente ofendida com isto. Tenho orgulho de saber o preço.,1,1,0,0,0,0,0,0,0,0,0
RT @_Renzzi: Mulher burra me da nojo!,1,1,0,0,0,0,0,0,0,0,0
essa mulher é mt burra,1,1,0,0,0,0,0,0,0,0,0
sai ow não sou tuas nega,1,1,0,0,0,0,0,0,0,0,1
Por um 8 de março em que eu não sinta que estou gorda e feia porque peso mais que 60 Kg,1,1,0,0,0,1,1,1,1,1,0
"A outra lá fica de cara feia. Aí se abre toda com a droga do sertanejo. Mulher burra,viu? #bbb17",1,1,0,0,0,0,0,0,0,0,0
"finalmente essa gorda velha saiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agora é só esperar o dólar abaixar pra eu poder ir pra disney sem preocupações",1,1,0,0,0,1,1,1,0,0,0
"@aninha_caraujo @sofiakalap @BiaMontezumaMF sua vida e babar o ovo da Bia,e a bia e feia e gorda !",1,1,0,0,0,1,1,1,1,1,0
@bbb os sem graças q vao passar a festa toda falando mal dos outros e roberta gorda feia fazendo caretas kkkkk os eliminadoa do bbb,1,1,0,0,0,1,1,1,1,1,0
"É sério eu não sei o que é pior na minha vida vey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ser pobre ou ser pobre gorda e feia??!!",1,1,0,0,0,1,1,1,1,1,0
a cara da gorda feia da Roberta #bbb17,1,1,0,0,0,1,1,1,1,1,0
"@homemdeverdade pega forte na cintura da sua fêmea,essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!",1,1,0,0,0,0,0,0,0,0,0
"@gustavozelele Devem ser respondido: ""chama de puta,vadia e manda ir lavar uma louça"".",1,1,0,0,0,0,0,0,0,0,0
nao deu pra carregar meu passe pq a mulher do setuf eh uma burra,1,1,0,0,0,0,0,0,0,0,0
"@homemdeverdade não precisa de #lingerieday,puta parada de Barangas-Nerds atrás de rolas virgens! Pra isso tem sites pornôs bem melhores...",1,1,0,0,0,0,0,0,0,0,0
@torvimoraes vc me chama de gorda e feia ,1,1,0,0,0,1,1,1,1,1,0
As teta da loirinha tá demais #altashoras https://t.co/LlS954cBjO,1,1,0,0,0,0,0,0,0,0,0
gorda e feia se mata kemilly https://t.co/lJWUQ55utL,1,1,0,0,0,1,1,1,0,0,0
Qdo vc vê q a mulher q vc gosta te bloqueou só pq vc comeu outra https://t.co/XulXyHzpyL,1,1,0,0,0,0,0,0,0,0,0
"""mais mulheres na política!"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A maioria do eleitorado é mulher!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Não são mais eleitas pq mulher não confia em mulher nenhuma",1,1,0,0,0,0,0,0,0,0,0
@ramonsm16 ela é mais legal eu sei. Só que ela é feia e gorda...,1,1,0,0,0,1,1,1,1,1,0
O que essa mulher está falando ??? Eu tô esperando pela comida e ela falando sobre sla. Me senti burra #MasterChefBR,1,1,0,0,0,0,0,0,0,0,0
"O pior cego é aquele que não quer enxergar,tenho ranço de mulher burra !",1,1,0,0,0,0,0,0,0,0,0
